ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code)
07481;2015-03-16T22:00:00+01:00;102150;40.0;1;50;1.7;281.95;275.05;62;15000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;1;;30;23;11;99240.0;;;340.0;;;;;;;;2.7;4.6;-10.0;1;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3;4000.0;7.0;0;7000.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;8.800000000000011;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-03-26T01:00:00+01:00;101140;100.0;1;330;5.9;278.25;275.45;82;18000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;800.0;35;;;98220.0;;;540.0;;;;;;;;7.7;8.1;-10.0;1;0.0;0.0;;0.0;0.0;-0.1;2.6;19.1;;;;;5.0;6;700.0;3.0;6;1400.0;8.0;6;2100.0;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;5.100000000000023;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-04-03T17:00:00+02:00;101690;-250.0;7;340;3.5;287.05;278.15;55;50000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;1;1250.0;31;23;12;98850.0;;;-670.0;;;;;;;;5.0;6.4;-10.0;1;0.0;0.0;;0.0;0.0;0.0;0.0;0.4;;;;;1.0;8;1300.0;5.0;3;3300.0;5.0;0;7200.0;;;;45.7265,5.077833;LYON-ST EXUPERY;7;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;13.900000000000034;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-04-05T20:00:00+02:00;101850;140.0;3;10;7.8;282.05;268.45;38;50000.0;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;25.0;2;1750.0;31;20;10;98950.0;;;590.0;276.55;;283.95;;;;;11.3;13.5;-10.0;1;0.0;0.0;;0.0;0.0;0.0;0.0;0.8;;;;;2.0;8;1990.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1;8.900000000000034;3.400000000000034;;10.800000000000011;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2014-10-22T17:00:00+02:00;102670;-70.0;8;20;4.6;284.05;275.35;55;50000.0;1;Averse(s);6;40.0;3;1750.0;31;20;10;99770.0;;;;;;;;;;;;7.2;-10.0;;;0.0;-30.0;0.0;0.0;;;;710.0;1107.0;3100.0;;3.0;8;1800.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Averse(s);1;10.900000000000034;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-08T16:00:00+01:00;102570;20.0;3;350;12.3;276.95;271.55;68;9270.0;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;;1;;;;;99590.0;;;140.0;;;;;;;;17.8;19.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;720.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;3.8000000000000114;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-11T07:00:00+01:00;102670;-10.0;7;290;2.0;269.25;267.55;88;3500.0;10;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;99610.0;;;-320.0;269.25;;272.65;;;;;3.3;3.3;-10.0;4;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;7;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;10;-3.8999999999999773;-3.8999999999999773;;-0.5;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-07T04:00:00+01:00;101900;160.0;1;310;2.0;272.75;268.65;74;10000.0;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;;35;;;98900.0;;;820.0;;;;;;;;2.9;3.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;8.0;6;1050.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;-0.39999999999997726;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-13T04:00:00+01:00;102140;-50.0;8;140;2.1;277.75;273.55;74;10070.0;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;;5;;;;;99190.0;;;-110.0;;;;;;;;3.7;4.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;3180.0;5.0;;4080.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;0;4.600000000000023;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-16T19:00:00+01:00;102060;100.0;3;20;3.2;277.45;275.65;88;8000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;;35;;;99110.0;;;800.0;276.05;;277.65;;;;;5.1;5.1;-10.0;1;0.0;;;0.0;0.0;0.0;0.0;0.6;;;;;4.0;6;300.0;7.0;6;600.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;4.300000000000011;2.900000000000034;;4.5;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
